Gene_Symbol,CCFA_Risk_001,CCFA_Risk_002,CCFA_Risk_003,CCFA_Risk_004,CCFA_Risk_005,CCFA_Risk_006,CCFA_Risk_007,CCFA_Risk_008,CCFA_Risk_009,CCFA_Risk_012,CCFA_Risk_013,CCFA_Risk_015,CCFA_Risk_016,CCFA_Risk_017,CCFA_Risk_020,CCFA_Risk_021,CCFA_Risk_022,CCFA_Risk_023,CCFA_Risk_024,CCFA_Risk_025,CCFA_Risk_027,CCFA_Risk_029,CCFA_Risk_030,CCFA_Risk_032,CCFA_Risk_037,CCFA_Risk_040,CCFA_Risk_043,CCFA_Risk_045,CCFA_Risk_046,CCFA_Risk_047,CCFA_Risk_048,CCFA_Risk_049,CCFA_Risk_050,CCFA_Risk_051,CCFA_Risk_052,CCFA_Risk_053,CCFA_Risk_056,CCFA_Risk_057,CCFA_Risk_058,CCFA_Risk_059,CCFA_Risk_060,CCFA_Risk_061,CCFA_Risk_062,CCFA_Risk_063,CCFA_Risk_066,CCFA_Risk_068,CCFA_Risk_069,CCFA_Risk_070,CCFA_Risk_071,CCFA_Risk_073,CCFA_Risk_074,CCFA_Risk_075,CCFA_Risk_091,CCFA_Risk_093,CCFA_Risk_094,CCFA_Risk_095,CCFA_Risk_096,CCFA_Risk_097,CCFA_Risk_098,CCFA_Risk_099,CCFA_Risk_100,CCFA_Risk_101,CCFA_Risk_102,CCFA_Risk_103,CCFA_Risk_104,CCFA_Risk_105,CCFA_Risk_106,CCFA_Risk_107,CCFA_Risk_108,CCFA_Risk_109,CCFA_Risk_110,CCFA_Risk_111,CCFA_Risk_112,CCFA_Risk_113,CCFA_Risk_115,CCFA_Risk_116,CCFA_Risk_120,CCFA_Risk_132,CCFA_Risk_133,CCFA_Risk_134,CCFA_Risk_135,CCFA_Risk_136,CCFA_Risk_137,CCFA_Risk_138,CCFA_Risk_140,CCFA_Risk_141,CCFA_Risk_142,CCFA_Risk_143,CCFA_Risk_145,CCFA_Risk_146,CCFA_Risk_147,CCFA_Risk_148,CCFA_Risk_149,CCFA_Risk_150,CCFA_Risk_156,CCFA_Risk_157,CCFA_Risk_158,CCFA_Risk_159,CCFA_Risk_160,CCFA_Risk_161,CCFA_Risk_162,CCFA_Risk_163,CCFA_Risk_164,CCFA_Risk_165,CCFA_Risk_166,CCFA_Risk_167,CCFA_Risk_168,CCFA_Risk_169,CCFA_Risk_170,CCFA_Risk_171,CCFA_Risk_172,CCFA_Risk_173,CCFA_Risk_174,CCFA_Risk_175,CCFA_Risk_176,CCFA_Risk_177,CCFA_Risk_178,CCFA_Risk_179,CCFA_Risk_181,CCFA_Risk_182,CCFA_Risk_184,CCFA_Risk_185,CCFA_Risk_186,CCFA_Risk_187,CCFA_Risk_188,CCFA_Risk_189,CCFA_Risk_190,CCFA_Risk_191,CCFA_Risk_192,CCFA_Risk_193,CCFA_Risk_194,CCFA_Risk_195,CCFA_Risk_196,CCFA_Risk_197,CCFA_Risk_198,CCFA_Risk_199,CCFA_Risk_200,CCFA_Risk_201,CCFA_Risk_202,CCFA_Risk_203,CCFA_Risk_204,CCFA_Risk_205,CCFA_Risk_206,CCFA_Risk_207,CCFA_Risk_208,CCFA_Risk_209,CCFA_Risk_210,CCFA_Risk_211,CCFA_Risk_212,CCFA_Risk_213,CCFA_Risk_214,CCFA_Risk_215,CCFA_Risk_216,CCFA_Risk_217,CCFA_Risk_218,CCFA_Risk_219,CCFA_Risk_220,CCFA_Risk_221,CCFA_Risk_222,CCFA_Risk_223,CCFA_Risk_224,CCFA_Risk_225,CCFA_Risk_227,CCFA_Risk_228,CCFA_Risk_229,CCFA_Risk_230,CCFA_Risk_231,CCFA_Risk_236,CCFA_Risk_252,CCFA_Risk_253,CCFA_Risk_254,CCFA_Risk_255,CCFA_Risk_256,CCFA_Risk_258,CCFA_Risk_259,CCFA_Risk_260,CCFA_Risk_261,CCFA_Risk_262,CCFA_Risk_263,CCFA_Risk_264,CCFA_Risk_265,CCFA_Risk_266,CCFA_Risk_267,CCFA_Risk_268,CCFA_Risk_269,CCFA_Risk_270,CCFA_Risk_271,CCFA_Risk_273,CCFA_Risk_274,CCFA_Risk_275,CCFA_Risk_276,CCFA_Risk_278,CCFA_Risk_279,CCFA_Risk_281,CCFA_Risk_285,CCFA_Risk_286,CCFA_Risk_287,CCFA_Risk_289,CCFA_Risk_293,CCFA_Risk_296,CCFA_Risk_299,CCFA_Risk_304,CCFA_Risk_307,CCFA_Risk_309,CCFA_Risk_310,CCFA_Risk_311,CCFA_Risk_312,CCFA_Risk_313,CCFA_Risk_314,CCFA_Risk_317,CCFA_Risk_320,CCFA_Risk_321,CCFA_Risk_183,CCFA_Risk_300,CCFA_Risk_303,CCFA_Risk_010,CCFA_Risk_011,CCFA_Risk_014,CCFA_Risk_018,CCFA_Risk_019,CCFA_Risk_026,CCFA_Risk_028,CCFA_Risk_031,CCFA_Risk_033,CCFA_Risk_034,CCFA_Risk_035,CCFA_Risk_036,CCFA_Risk_038,CCFA_Risk_039,CCFA_Risk_041,CCFA_Risk_042,CCFA_Risk_044,CCFA_Risk_054,CCFA_Risk_055,CCFA_Risk_064,CCFA_Risk_065,CCFA_Risk_067,CCFA_Risk_072,CCFA_Risk_076,CCFA_Risk_077,CCFA_Risk_078,CCFA_Risk_079,CCFA_Risk_080,CCFA_Risk_081,CCFA_Risk_082,CCFA_Risk_083,CCFA_Risk_084,CCFA_Risk_085,CCFA_Risk_086,CCFA_Risk_087,CCFA_Risk_088,CCFA_Risk_089,CCFA_Risk_090,CCFA_Risk_117,CCFA_Risk_118,CCFA_Risk_121,CCFA_Risk_180,CCFA_Risk_139,CCFA_Risk_237,CCFA_Risk_257
AADAC,-0.88125,-8.3859,-3.4765,0.476,-6.8609,-3.7573,-4.7448,-0.044202,-2.5065,0.0062408,0.033458,-5.6182,-2.7251,-5.2502,-3.2829,-8.2072,-0.44647,-2.7195,0.82672,-10.4949,-4.3406,-0.17679,-2.0271,-0.71288,-0.23518,-0.4118,1.0502,0.11621,-4.9133,-1.5293,0.063893,-6.258,-1.1717,-1.782,-2.639,-2.9633,-3.5336,-0.60067,-1.4137,0.50706,0.8911,-5.5681,-4.9092,-6.1654,-1.4754,-6.2697,-1.8959,-4.2733,-1.3639,-0.54757,-2.911,-1.6207,0.81439,-3.1486,0.062983,-6.3914,-0.6344,-0.084074,-6.8903,-7.6327,-4.1511,-4.3316,-8.5031,-1.6621,-9.2497,0.38016,-4.584,-1.1161,-0.81576,-2.9907,-4.9439,-2.9549,-0.79838,0.081247,-0.84364,-0.39313,-1.4809,-2.4085,-5.1026,-1.4709,-3.1111,-3.1744,-4.2188,-2.4713,-2.6389,-0.91728,-6.169,-3.8106,-3.0969,-3.1436,-0.366,-0.035387,-2.3813,-2.5523,0.72011,-4.34,-1.1776,-1.2965,0.29796,-3.9421,-2.0115,-3.4942,-0.87998,-2.451,-1.6875,-4.1183,-0.92136,-0.1222,-0.013536,-4.2408,-4.6612,-2.2323,-4.0244,-0.039865,-2.0163,-3.1209,-0.76127,-1.2645,-6.2111,-1.8323,-1.3582,-2.0003,-2.896,-3.9464,-2.4817,-0.10954,-4.0533,0.92188,-7.6131,-2.8889,-3.7265,-0.14224,-4.1523,-0.92624,-0.34288,-5.366,-2.3814,-1.0396,-1.1863,-0.21518,-1.013,-1.7048,-3.5826,-2.6087,-1.1748,0.018601,-4.8883,0.36433,0.45725,-3.5901,0.23611,0.498,-5.494,-2.7714,-2.3337,0.40461,-1.5441,-1.2617,-1.8709,-1.614,-0.44385,-2.1848,-1.7019,-0.84743,-1.0668,-3.9609,-4.1244,-3.4352,-3.0287,0.57921,-1.7171,-7.3977,-2.7299,-1.5631,-6.2728,-3.0009,-3.1284,-4.1818,-7.0562,-0.43389,-7.6686,0.23105,-5.6579,-3.6587,-0.60318,-5.7348,0.56983,-0.48522,0.77022,0.20139,-5.365,-7.5685,-7.6841,-3.1914,-1.2881,1.1543,0.009593,-0.065971,-4.9855,-4.1968,-0.33495,-1.036,-2.4937,-8.587,-3.626,-4.9952,-1.1932,-2.2833,-0.34077,-3.5791,-1.0239,-1.2817,1.02,-1.6846,-0.53552,1.5721,-0.011663,-1.616,1.6015,-0.87912,-1.1227,1.1444,-0.25057,-0.58611,0.42846,0.57373,-0.14509,-0.57916,-0.81791,-0.25417,-0.42053,2.2459,-1.3449,-1.5405,1.2912,0.7379,1.4285,-0.47416,-0.84396,-1.0717,0.98543,0.70252,-0.60143,-0.53021,0.93814,0.011663,0.31362,1.7044,0.776,0.72284,-1.0316,1.1623,0.1992,0.23903,1.3615,-0.93472,-0.24844,-5.2289,-0.68068,-1.4899
APOA1,-3.0465,-9.3617,-2.6363,0.93493,-6.4784,-5.8715,-9.4177,-0.65309,-4.2686,-0.83505,-1.2921,-5.7855,-3.308,-5.8488,-4.1352,-5.5147,-0.45077,-5.434,-1.5862,-11.4476,-3.1356,0.47115,-1.6522,0.64338,-0.52096,-0.30524,1.0364,-0.16693,-4.3388,-2.5107,1.2815,-5.8571,-0.66076,-2.4604,-1.5049,-2.8106,-3.799,0.0023012,-1.4387,0.56842,0.92435,-6.1812,-5.4903,-6.2296,-2.1901,-6.7798,-6.143,-4.1429,-2.2343,-0.57174,-4.9022,-2.5139,-0.10455,-4.3656,-1.1819,-6.7692,0.54651,0.085425,-6.943,-9.0939,-7.1779,-3.3583,-8.4789,-1.7526,-8.9861,2.3163,-6.3182,-1.7427,0.98088,-6.3394,-6.4682,-1.4552,1.0571,3.0799,-1.5912,-1.2788,-1.6725,-0.73051,-8.6584,1.5937,-4.6434,-3.8607,-4.5886,-1.859,-4.4093,0.17362,-4.4953,-6.1659,-6.7803,-5.8298,-0.46685,1.7922,-0.30614,-1.2152,0.81896,-5.9044,-0.38918,-1.2397,-0.59746,-4.095,-1.1188,-3.5563,-3.2417,-2.7498,-0.91311,-6.6169,-2.5466,-0.54436,-0.66384,-8.7105,-8.865,-0.38362,-4.0083,0.26603,-1.9167,-5.607,-1.3565,-0.73212,-8.3713,-2.8265,-1.712,-5.5246,-3.1618,-2.7672,-1.6464,1.0581,-2.7738,0.35823,-9.0483,-4.8166,-5.491,0.37275,-6.4068,-0.074615,-0.83625,-7.8835,-2.562,-1.7345,-2.1357,-1.7231,-1.1998,-2.2431,-2.9699,-4.9238,-1.4339,0.0062027,-6.8271,-0.11516,-0.32155,-4.9247,-0.38052,0.099678,-6.9327,-3.3077,-4.4429,-1.0892,-2.4668,-1.316,-3.7477,-2.378,-2.2028,-0.79243,-4.5644,-2.3716,-1.577,-7.9193,-6.1399,-5.6559,-3.3607,0.965,0.21441,-8.0553,-2.6173,-1.6796,-5.4408,-2.2281,-1.7852,-6.9721,-8.2867,-1.2624,-8.803,0.25764,-9.7156,-6.0431,-0.16127,-5.2063,2.5945,-0.65045,0.13318,0.36086,-9.0656,-8.2341,-8.468,-3.8801,-0.95274,2.1312,0.43932,-0.15897,-7.3012,-4.8599,-0.41433,-2.1482,-1.3914,-8.7852,-3.8958,-4.5342,-0.7891,-1.1012,-1.1969,-2.7095,0.37979,-1.6368,1.4185,-0.049616,-1.0321,1.2255,-0.36657,-0.81166,1.2697,-0.58009,-0.83192,1.4326,-0.38986,-1.1642,1.4971,0.011119,1.4524,-1.3823,-1.8003,1.0252,-1.2287,3.2963,1.2403,0.33354,1.1517,0.78216,1.0637,-0.31107,-0.83369,2.7725,3.7346,0.78053,-1.5493,-1.3094,0.45626,0.14409,0.44341,1.0468,-1.4199,-0.29633,-0.56904,0.74486,0.20014,-0.15932,1.0516,-1.2075,-1.0685,-7.4559,0.39609,-2.9453
APOA4,-0.91813,-7.1696,-2.6486,0.19887,-7.4818,-3.0414,-7.5605,-0.94714,-1.6623,-0.89345,-0.41211,-5.6879,-2.6545,-4.0352,-2.3672,-5.5547,-0.9403,-3.0035,-0.25071,-10.6074,-3.0145,0.090991,-2.0091,-0.34205,-0.27602,0.16559,-0.41751,0.31309,-5.2589,-1.2557,2.0061,-5.3337,0.55595,-2.1235,-0.55394,-0.82552,-1.3912,0.054392,0.68081,0.28368,0.88773,-6.0216,-5.0087,-6.0687,-1.2274,-6.419,-3.6692,-3.112,-1.8334,-0.17643,-3.0512,-1.3619,0.23886,-2.9944,-0.3552,-6.7494,0.50393,0.53247,-6.2308,-8.6244,-5.4469,-0.75976,-9.0309,-2.211,-9.3715,1.6768,-5.6673,-0.53816,1.0151,-6.4132,-5.569,-2.4247,0.86946,1.1185,-0.76266,-0.70308,-2.1581,-0.50099,-7.9783,2.0379,-3.8635,-1.9816,-2.2486,-0.18652,-3.0551,0.071149,-2.9048,-4.5635,-4.5618,-4.0276,-0.3803,1.5823,-0.083186,-1.2171,0.84654,-4.0551,-0.17537,-1.0124,0.20472,-3.5396,-0.4095,-3.5471,-1.5585,-1.8397,-1.2184,-4.9536,-2.488,0.44313,-0.014613,-6.8762,-8.0139,-0.76857,-3.3929,0.77838,-0.34347,-3.611,-2.2177,-0.6083,-7.4831,-1.1887,-0.57605,-3.6681,-1.2386,-3.1141,-1.3256,1.1784,-3.0541,-0.85734,-8.2712,-3.1629,-3.4251,1.193,-5.9987,-0.56855,-1.3572,-7.7185,-3.4845,-1.6616,-1.2268,-1.112,-0.68885,-1.5974,-1.9641,-3.599,-1.5134,-0.0092354,-4.9092,-0.65359,-0.011373,-3.9137,-0.72107,-0.068486,-3.5642,-3.1888,-3.3154,-0.82206,-1.8378,-0.74778,-2.4139,-1.872,-1.5647,-0.63955,-2.0593,-2.5172,-1.035,-6.3374,-3.7787,-3.2918,-2.9746,1.5198,-1.0849,-7.7556,-1.7151,-1.3871,-4.8305,-0.82142,-1.8081,-5.244,-8.165,-0.51368,-8.7635,-0.029612,-10.023,-4.1727,0.092774,-4.6549,1.5488,-0.41587,0.90559,-0.32854,-6.534,-8.027,-8.224,-2.8846,-1.517,2.0279,-0.85657,-0.62996,-7.6804,-3.9358,-0.39773,-1.8792,-0.93789,-9.0792,-3.5221,-4.2991,-1.3106,-1.207,-1.4236,-0.89994,0.87521,-0.16682,0.1147,1.8669,-0.66779,2.4302,-0.88943,-1.3335,1.143,0.19753,-1.4637,1.225,-0.18375,-1.9307,1.2973,0.24662,0.4037,-0.96689,-2.26,0.6223,-1.4038,1.7806,0.41022,-1.2247,1.4576,0.78826,0.53328,-0.96473,-0.60028,-0.13954,1.2894,0.28265,-1.7773,-1.4913,0.24578,0.041152,0.1436,0.65827,-0.47013,-0.076374,-0.82947,0.54624,0.53234,-0.29898,0.26538,-0.071699,-1.2062,-6.2972,0.2252,-1.9198
APOB,-1.3128,-7.4158,-2.5412,1.9108,-7.0656,-3.7296,-6.8377,0.3354,-3.1109,-0.016976,0.81948,-5.5308,-1.9435,-4.4116,-1.5224,-7.6773,0.13161,-2.2008,0.025304,-9.686,-4.0412,-1.453,-1.4328,-1.3444,-0.36578,-0.41421,0.51968,-0.052593,-5.3205,-0.39077,0.15461,-5.6903,0.21719,-1.8843,-1.3461,-0.95834,-3.632,-1.7108,0.23247,0.97727,0.62287,-6.3962,-5.5758,-6.4303,-0.9184,-6.7403,-3.0639,-4.0052,-0.04952,0.10522,-2.7767,-0.78204,1.0917,-3.2542,0.33456,-7.516,0.023104,0.36813,-7.1045,-8.4049,-4.504,-1.8993,-9.7197,-0.8956,-8.6526,-0.47836,-3.7935,-1.7454,-0.41796,-5.873,-6.1688,-3.3395,-1.3202,-0.31469,-1.0436,-0.91461,-0.82677,-1.0232,-6.0663,-1.7706,-3.7378,-2.4261,-2.6586,-1.8834,-3.2045,-0.0084543,-3.2903,-3.6831,-4.2586,-4.2967,-0.5397,-0.22583,-1.0842,-2.2644,-0.26227,-5.3931,-0.32599,-0.91605,-0.085621,-3.6757,-0.065457,-2.5902,-1.0162,-1.7592,-1.0226,-3.8277,-2.4191,-0.14506,-0.1558,-4.1327,-7.471,-1.5097,-2.4798,-0.36272,-1.5099,-2.9778,-0.46673,-0.69113,-7.663,-2.2312,-0.96499,-3.1033,-1.3736,-4.6016,-3.225,0.45786,-2.4203,0.21669,-9.2337,-2.1527,-4.5963,-1.7377,-5.2076,-1.1735,-0.17722,-6.9943,-2.8667,-0.34223,-1.3036,-0.39261,-1.1953,-0.73124,-2.2158,-3.4759,-0.75074,0.39765,-3.0771,0.041483,0.35819,-2.6622,0.49348,0.83777,-4.3383,-2.9947,-2.2345,-0.15279,-1.4188,-1.1702,-1.3857,-1.2133,-0.72487,-1.0107,-2.3047,-2.2969,-1.3666,-4.3424,-3.8274,-2.9439,-1.9123,0.5935,-1.5945,-8.1744,-0.81299,-0.013321,-5.3432,-1.0341,-2.9481,-5.3085,-7.871,-0.3389,-8.4942,0.45462,-8.8836,-3.8397,-0.35634,-5.3853,-0.079788,-0.05853,0.89604,0.67904,-5.061,-7.2011,-8.4026,-2.9597,-1.8425,1.0791,-0.18888,0.34606,-6.8679,-3.7209,-0.17712,-1.1356,-2.3532,-9.1208,-2.0487,-3.7984,-1.0719,-1.0544,-1.2741,-2.1758,0.38126,-1.3181,-0.81841,-0.016829,-0.13054,1.8028,0.017747,-0.72263,1.5839,-0.72984,-1.6941,-0.17379,0.074871,-0.26068,-1.1213,-0.10876,-1.0545,-0.19723,-1.1724,-1.3848,-1.0903,0.75133,-0.51251,-1.2347,1.1015,0.65626,0.3346,-0.92507,-2.4287,0.24714,1.3347,0.45971,-0.46548,-0.34878,0.98721,-0.13822,1.021,0.79763,0.30653,0.46987,-2.48e-05,1.0253,0.41715,0.14618,1.0169,0.07599,-0.44267,-5.4805,-0.043606,-2.8993
APOC3,-1.2775,-8.088,-2.1691,0.80647,-7.2296,-3.8673,-8.2542,-0.46634,-1.6088,-0.30297,-1.2962,-6.1759,-1.6554,-4.4878,-2.5443,-5.0067,-0.44317,-2.892,-1.2832,-9.5186,-2.7785,0.076093,-1.3897,0.21334,-0.49383,-0.75218,0.18719,-0.68723,-4.2997,-1.1544,2.7766,-4.7293,-0.83135,-2.2385,-0.24932,-2.0571,-2.2808,1.8982,1.008,0.11339,0.97853,-6.4067,-5.3076,-6.4168,-1.4648,-7.1782,-4.2055,-2.9191,-0.80208,-1.1257,-2.4267,-1.4451,1.2572,-3.3304,-0.15547,-7.2455,1.423,0.53095,-5.4489,-7.9938,-5.7991,-1.3472,-8.9422,-1.4571,-10.2737,1.8527,-5.3064,-1.3029,1.3989,-5.6112,-5.2478,-1.143,1.9374,2.2012,-0.45612,-0.67544,-1.3639,0.4188,-8.4965,1.8355,-2.6018,-2.2114,-2.1097,-0.039842,-2.5746,-0.053452,-2.3927,-3.6823,-5.0667,-4.6449,0.22743,2.2477,0.77163,-0.4847,0.52632,-4.8159,-1.4554,-0.92502,-0.45558,-3.2815,-0.23183,-3.4391,-2.9809,-2.0589,-1.0189,-5.2604,-2.0096,-0.26842,-0.38459,-7.136,-7.632,-0.13904,-2.9604,0.45157,-0.73446,-4.4311,-0.11594,-0.8728,-7.3872,-0.19634,-0.81104,-4.9426,-1.6174,-2.5067,-1.4517,0.80659,-1.6695,0.71498,-8.1262,-3.7591,-3.473,1.1927,-6.1033,-0.73733,0.4637,-7.3596,-2.8867,-1.604,-1.0122,-1.0117,-0.26954,-1.1903,-1.4339,-3.0111,-1.3938,-0.35569,-5.3274,0.42917,0.5792,-4.1165,0.39473,0.56413,-4.4061,-2.9366,-2.9679,-0.34178,-1.9155,-0.50784,-2.7466,-2.0662,-1.1314,0.34325,-2.3823,-1.6747,-0.87961,-6.8725,-4.9897,-3.525,-3.0223,1.1064,0.82205,-8.2962,-1.4446,-1.1476,-4.6953,-1.0324,-1.8206,-6.4144,-7.8171,-0.074842,-8.5772,0.59292,-8.6254,-3.8198,-0.30831,-4.555,3.0049,-0.6826,0.17147,-0.070265,-8.017,-8.6342,-8.8337,-3.2482,-1.4221,3.073,0.44791,0.6516,-7.0537,-3.6849,-0.39152,-1.176,-1.3594,-10.0261,-3.1076,-3.5941,-1.0237,-1.3315,-1.2155,-1.282,1.085,0.027435,1.7116,0.79444,-1.1571,1.5066,-1.3425,-1.9067,0.91349,-1.3725,-1.7513,1.3397,-0.43239,-2.0174,1.3444,-0.41017,1.368,-1.3961,-2.4631,0.81671,-1.7506,3.3441,0.33853,0.55181,1.1482,0.54233,1.1109,0.89119,0.11514,2.3461,2.8818,0.7361,-1.9279,-1.5313,0.56085,0.18795,0.10493,0.81587,-0.82419,0.19136,-0.58197,0.59072,0.047763,-0.39229,0.53516,-0.99656,-1.3029,-7.3703,0.0027676,-1.8916
AQP9,6.3215,9.6797,7.9279,0.22229,9.2705,7.4326,5.4119,0.88251,5.8786,2.118,3.9153,2.5212,5.2705,6.6898,4.9798,11.1292,1.0027,5.4871,6.7666,2.0854,11.1161,5.4537,7.0184,3.1119,5.9207,4.453,0.64482,0.67168,7.2911,6.9299,7.9011,0.81939,5.3435,4.2654,6.5935,4.211,6.6313,4.1725,4.5901,2.2677,4.0916,1.3114,10.3253,3.5666,6.2623,4.7343,8.7005,4.9455,3.4282,3.1305,6.128,6.9537,3.5759,4.7044,2.6609,6.3718,6.2114,7.5608,13.1103,6.6796,6.3205,6.2036,9.2926,4.0659,8.323,0.77901,5.8037,1.3587,1.2125,9.2378,6.3778,7.0188,4.9937,3.8792,3.1673,5.1539,6.3541,4.6782,9.4247,6.3597,5.9753,5.7557,7.709,5.792,6.8717,4.8627,8.7705,6.4467,5.2459,8.5564,4.9801,4.1542,7.9994,4.8493,1.095,7.4828,3.4423,2.8495,5.1194,4.3218,2.3519,5.1229,-0.16878,6.4628,4.756,6.6898,4.8755,4.1595,4.6354,6.0927,5.9324,1.0256,3.6683,3.3861,5.0546,5.5138,4.9413,3.0501,9.4741,6.5684,4.7993,7.2319,4.5802,5.1253,3.8325,1.5368,5.2748,0.91938,6.1032,5.4,7.7377,2.7999,8.015,0.7177,4.4153,8.914,3.4334,0.83959,6.8221,5.0469,7.0771,2.9432,5.5434,5.4606,3.2839,2.9798,6.8894,4.5226,2.683,7.6379,5.6932,0.85761,7.8832,9.7801,5.4812,2.8171,2.4397,5.7664,6.6453,6.0822,3.7404,4.2197,6.7733,4.4229,6.2423,7.8913,7.1822,7.1267,7.6728,1.9717,5.1258,3.4087,3.9599,3.4411,9.696,5.6247,7.0798,5.8891,9.2598,4.7408,9.8865,3.7456,9.4692,5.9963,6.4067,3.0378,0.87597,1.9464,0.088977,4.7316,8.3196,0.87021,7.214,4.182,5.9666,7.0011,-0.4768,1.1103,8.097,6.5969,0.4927,2.8686,3.241,-0.59205,4.9567,8.4734,2.1086,4.7061,0.13161,7.1412,3.671,4.0177,0.66233,5.762,3.4977,1.5198,-0.84782,-1.381,0.041972,1.9961,-1.915,1.0791,-0.11859,0.37454,-1.7926,-1.915,1.1176,0.026311,1.9254,0.43903,0.96636,2.2568,0.33787,1.4302,1.5486,1.874,3.0673,3.187,0.7429,3.8246,-1.915,-1.0543,-0.26086,-0.026311,-0.79206,-1.8353,0.68605,-1.915,-1.915,-1.915,3.4076,-1.915,2.6798,1.4189,-1.915,4.8967,0.725,9.0357,5.9223,7.6251
C6,-3.5056,-5.1774,-4.0778,-0.52026,-5.1774,-3.8659,-4.2028,-1.6022,-5.1774,-3.1443,-3.7274,-4.5485,-3.5184,-5.1774,-3.8062,-5.1774,-2.0187,-4.1328,-3.4616,-2.762,-3.9284,-2.0673,-5.1774,-2.1505,-0.83347,-3.0642,0.32271,-1.6976,-2.4202,-4.5026,-5.1774,-3.0279,-1.0029,-5.1155,-4.958,-3.4436,-3.4639,-3.9967,-0.56096,0.19442,-4.5283,-3.3469,-5.1774,-3.0177,-3.827,-5.1774,-3.9863,-1.9442,-2.1561,1.6708,-3.4427,-5.1774,-0.65332,-3.4834,-0.93404,-3.6587,-5.1774,-3.174,-5.1774,-5.1774,-3.8266,-2.9797,-4.7705,-5.0105,-4.5171,-2.7464,-2.0733,-3.1666,-2.5093,-3.4675,-5.1774,-2.4135,-3.7922,-2.7755,-2.2504,-1.9897,-0.46545,-1.0555,-4.4403,-3.0388,-4.5349,-3.3646,-3.1044,-5.1774,-1.2819,-2.726,-5.1774,-3.7795,-3.9822,-2.9959,-2.7085,-1.4707,-5.1774,-2.5727,-1.5836,-4.9293,-1.6265,-2.9978,-2.3747,-5.1774,1.1863,-4.1911,-2.5831,-0.7295,0.77291,-4.6512,-2.6409,-1.5358,-2.9841,-5.1774,-5.1774,-2.6518,-5.1774,-1.7743,-2.9317,-3.268,-3.4809,-1.5962,-4.5374,-1.3669,0.45208,-2.7809,-2.6866,-3.4225,-2.6393,-0.94791,-2.8372,3.2613,-4.17,-5.1774,-5.1774,-4.0474,-5.1774,-0.54464,-2.7676,-4.018,-0.65388,-0.88219,-3.6424,-3.2154,-3.3548,1.0264,-1.3719,-5.1774,1.9525,-1.5626,-3.0302,2.0321,-2.1961,-1.9615,-1.6244,-1.3267,-4.5831,-4.1725,-3.4193,-2.4453,-2.4059,-3.2084,-5.1774,-5.1774,-3.4046,-2.8769,-3.9044,-3.0709,-4.2396,-5.1774,-4.8579,-4.6744,-2.8833,0.25802,-1.3064,-3.9546,-5.1774,-2.1648,-2.9553,-3.6225,-5.1774,-4.5647,-5.1774,-2.1557,-5.1774,1.1046,-5.1774,-2.0492,-2.2083,-3.2246,-0.96414,-1.6379,-1.7468,-2.2743,-2.2604,-2.1995,-5.1774,-3.9216,-3.3903,-2.9461,-1.0387,-3.152,-5.1774,-3.3379,-2.4477,-2.9787,-4.5784,-3.8544,-2.1277,-4.1587,-1.9313,-3.0481,-4.4527,-1.5978,-0.39383,-2.0775,4.5106,-2.7374,-1.5582,-0.39463,1.7316,-0.1515,-0.76094,-3.9292,-0.73419,-0.25626,-0.79598,-0.83718,-1.5955,-0.47629,-0.25165,-1.88,-1.2629,3.2333,2.6976,-0.61848,2.2093,2.9534,0.45191,-0.88586,-0.49049,0.094616,-1.5194,-4.8323,0.73707,0.075721,-0.031348,0.54423,0.64382,0.051338,-0.5174,0.038062,-0.89389,-1.2766,0.04943,0.70403,2.6573,0.32811,-1.7109,1.88,-2.2743,-3.9113,-0.31168,-3.3048
