Gene_Symbol,20_control,120_control,294_UC,301_UC,316_UC,92_UC,119_UC,122_UC,123_UC,124_UC,125_UC,126_UC,127_UC,128_UC,129_UC,130_UC,131_UC,144_UC,151_UC,152_UC,153_UC,154_UC,155_UC,226_UC,232_UC,233_UC,234_UC,235_UC,238_UC,239_UC,240_UC,241_UC,242_UC,243_UC,244_UC,245_UC,246_UC,247_UC,248_UC,249_UC,250_UC,251_UC,272_UC,277_UC,280_UC,282_UC,283_UC,284_UC,288_UC,290_UC,291_UC,292_UC,295_UC,297_UC,298_UC,302_UC,305_UC,306_UC,308_UC,315_UC,318_UC,319_UC,322_UC,10_control,11_control,14_control,19_control,28_control,31_control,33_control,34_control,35_control,36_control,38_control,39_control,41_control,42_control,44_control,54_control,55_control,64_control,65_control,67_control,72_control,76_control,77_control,78_control,79_control,80_control,81_control,82_control,83_control,84_control,85_control,86_control,87_control,88_control,89_control,90_control,117_control,118_control,121_control,180_control,114_UC
AADAC,-3.2829,-1.4809,-4.2771,-0.29026,-8.2387,-0.12396,0.85059,-1.1099,-5.4847,0.61287,-1.7965,-1.3778,-3.0808,-0.33581,-0.071647,-1.3531,0.10981,-0.11412,-0.79791,-0.49613,-1.2282,-1.417,-0.86301,-0.32316,-1.0791,-0.86072,-0.60369,-0.85203,-2.4363,0.14314,-0.93769,-0.27045,0.93602,0.28963,1.1087,1.4839,-1.1408,0.46625,0.55935,-1.078,-0.067678,0.28487,1.4173,-0.50228,-0.43508,0.49599,-0.55901,-0.66393,-0.72873,-4.8966,-4.0757,-0.28642,-7.7626,1.6205,-0.92849,0.20935,0.27192,0.20301,-3.411,-0.54871,-0.46759,0.0076485,-0.12013,1.5721,-0.011663,-1.616,-0.87912,1.1444,-0.25057,-0.58611,0.42846,0.57373,-0.14509,-0.57916,-0.81791,-0.25417,-0.42053,2.2459,-1.3449,-1.5405,1.2912,0.7379,1.4285,-0.47416,-0.84396,-1.0717,0.98543,0.70252,-0.60143,-0.53021,0.93814,0.011663,0.31362,1.7044,0.776,0.72284,-1.0316,1.1623,0.1992,0.23903,1.3615,-0.93472,-0.24844,-0.37507
APOA1,-4.1352,-1.6725,-7.1471,0.096637,-6.9305,-0.21108,0.36516,-1.8568,-5.9784,1.9106,-0.42238,0.52923,-1.6549,1.6328,1.1855,0.24492,1.4212,-0.49672,3.7425,-1.2758,0.71566,-1.5946,0.26511,-0.71194,-1.5805,-0.63436,-1.1262,-0.030909,-1.8319,0.57888,-0.55227,-0.60418,0.20352,0.39369,0.31257,0.6963,-0.84025,0.52583,0.051712,2.7892,-0.48082,-0.19903,1.8755,-0.59044,0.67588,0.032162,-1.68,-0.40616,-1.4542,-5.6878,-1.2173,-0.45339,-7.4746,1.1521,-1.3862,-0.09862,0.36706,0.5861,-5.1515,-2.2126,-0.10295,0.030519,-0.00097847,1.2255,-0.36657,-0.81166,-0.58009,1.4326,-0.38986,-1.1642,1.4971,0.011119,1.4524,-1.3823,-1.8003,1.0252,-1.2287,3.2963,1.2403,0.33354,1.1517,0.78216,1.0637,-0.31107,-0.83369,2.7725,3.7346,0.78053,-1.5493,-1.3094,0.45626,0.14409,0.44341,1.0468,-1.4199,-0.29633,-0.56904,0.74486,0.20014,-0.15932,1.0516,-1.2075,-1.0685,1.6089
APOA4,-2.3672,-2.1581,-5.6337,0.49465,-7.2843,-0.35863,0.35096,-1.921,-6.4017,0.68141,-0.31717,0.80295,-0.61339,1.0295,0.72323,-1.371,0.92324,-0.48754,1.8001,-0.40874,-0.34573,-1.2502,0.45805,-0.89436,-0.64,0.14822,-0.66058,-1.2094,-2.96,0.53322,-0.024536,0.51452,-0.75388,0.094172,0.38221,0.52294,-0.67779,1.5624,1.0658,1.116,0.64928,-0.31936,2.1388,0.046517,0.48828,0.45238,-0.6903,0.16514,-1.9461,-4.9953,-1.0334,0.19797,-8.2498,1.2923,-0.9519,0.40038,-0.018276,1.1961,-3.4237,-1.7525,0.2939,-0.30958,-1.1629,2.4302,-0.88943,-1.3335,0.19753,1.225,-0.18375,-1.9307,1.2973,0.24662,0.4037,-0.96689,-2.26,0.6223,-1.4038,1.7806,0.41022,-1.2247,1.4576,0.78826,0.53328,-0.96473,-0.60028,-0.13954,1.2894,0.28265,-1.7773,-1.4913,0.24578,0.041152,0.1436,0.65827,-0.47013,-0.076374,-0.82947,0.54624,0.53234,-0.29898,0.26538,-0.071699,-1.2062,0.78129
APOB,-1.5224,-0.82677,-5.8985,0.88021,-7.7721,-0.65271,0.27351,-1.6843,-6.1736,-0.71572,-2.5555,-1.3507,-1.0844,-0.40464,-0.068498,-0.99802,-0.11608,-0.45788,0.25819,-1.1384,-1.0021,-1.1834,-0.72957,0.095546,-1.6566,-0.41366,-1.9164,-0.37664,-3.3879,1.2265,-0.44177,0.89045,1.4024,0.4424,0.96144,1.2294,-0.81773,0.16344,0.33269,-0.47789,0.59399,0.49137,1.7725,0.78001,-0.70181,0.45921,-0.38818,0.026521,-0.55714,-4.8317,-2.0798,0.66664,-8.2795,0.88102,-0.50034,0.025023,-0.79591,0.60318,-3.4644,-0.67197,-1.1736,-1.1393,-0.64707,1.8028,0.017747,-0.72263,-0.72984,-0.17379,0.074871,-0.26068,-1.1213,-0.10876,-1.0545,-0.19723,-1.1724,-1.3848,-1.0903,0.75133,-0.51251,-1.2347,1.1015,0.65626,0.3346,-0.92507,-2.4287,0.24714,1.3347,0.45971,-0.46548,-0.34878,0.98721,-0.13822,1.021,0.79763,0.30653,0.46987,-2.48e-05,1.0253,0.41715,0.14618,1.0169,0.07599,-0.44267,-0.37282
APOC3,-2.5443,-1.3639,-5.9606,0.2887,-7.5903,-0.18737,0.31661,-2.4269,-6.5342,1.6488,-0.042775,1.0455,0.5107,1.2113,1.029,0.89875,2.2047,-0.13674,3.1578,-0.68667,0.47647,-0.9185,-0.22291,-0.74507,-0.45678,0.33436,-2.1102,-0.47111,-0.92568,0.44725,-0.78049,-0.30862,0.2939,0.22621,0.49654,0.58265,-1.3329,1.1774,0.67423,2.313,0.83559,0.13984,1.7255,0.023253,0.49578,-0.073836,-0.057092,-0.67732,-1.3875,-5.1966,-0.94573,0.32936,-7.9215,1.4428,-0.10651,-0.24187,2.5217,0.92862,-3.7329,-1.7036,-0.51851,0.056112,-0.2133,1.5066,-1.3425,-1.9067,-1.3725,1.3397,-0.43239,-2.0174,1.3444,-0.41017,1.368,-1.3961,-2.4631,0.81671,-1.7506,3.3441,0.33853,0.55181,1.1482,0.54233,1.1109,0.89119,0.11514,2.3461,2.8818,0.7361,-1.9279,-1.5313,0.56085,0.18795,0.10493,0.81587,-0.82419,0.19136,-0.58197,0.59072,0.047763,-0.39229,0.53516,-0.99656,-1.3029,2.2625
AQP9,4.9798,6.3541,5.1959,3.2416,7.0784,3.0403,0.51203,-0.36701,5.7233,0.083431,4.0134,4.0467,1.4804,0.47051,0.9267,1.6976,2.6729,3.7046,2.2067,2.3782,4.9218,0.019058,2.0954,1.6174,4.3489,1.6866,0.81241,-0.37835,1.0201,3.4676,3.3145,-0.22443,4.1785,-1.915,-1.915,-1.915,0.84944,0.11429,-0.63898,3.6518,0.95277,-0.5596,0.2083,2.6971,2.3248,-1.5391,3.2176,1.6695,-0.96354,5.0984,7.6864,4.167,6.3133,-0.42291,0.92011,-1.915,2.4874,2.41,5.6058,6.1936,4.5676,-0.62581,-1.915,1.5198,-0.84782,-1.381,1.9961,1.0791,-0.11859,0.37454,-1.7926,-1.915,1.1176,0.026311,1.9254,0.43903,0.96636,2.2568,0.33787,1.4302,1.5486,1.874,3.0673,3.187,0.7429,3.8246,-1.915,-1.0543,-0.26086,-0.026311,-0.79206,-1.8353,0.68605,-1.915,-1.915,-1.915,3.4076,-1.915,2.6798,1.4189,-1.915,4.8967,0.725,5.1574
C6,-3.8062,-0.46545,-4.2263,-0.81723,-2.2206,2.5853,-0.55767,-2.6294,-4.6266,0.043478,-1.5943,-2.997,-2.8975,-0.054873,-1.5056,-0.73465,-0.086901,-2.2068,-1.0557,-2.9763,-3.0036,-0.74079,-2.8674,-1.1236,-2.6061,-1.4152,-1.128,-0.90951,-0.65724,2.4753,-2.2698,-0.060509,-1.1256,2.1754,3.596,-0.63398,0.3142,-0.28016,-1.4863,-3.0028,-2.1397,-1.4069,0.0048485,-1.8664,-2.5918,-0.56985,-1.8708,-2.873,0.20507,-2.9713,-0.21065,-0.28794,-3.2524,0.79802,-1.0527,-2.088,-1.7749,-1.9398,-4.6165,0.66682,1.6886,-0.96216,-0.70437,-0.39463,1.7316,-0.1515,-3.9292,-0.25626,-0.79598,-0.83718,-1.5955,-0.47629,-0.25165,-1.88,-1.2629,3.2333,2.6976,-0.61848,2.2093,2.9534,0.45191,-0.88586,-0.49049,0.094616,-1.5194,-4.8323,0.73707,0.075721,-0.031348,0.54423,0.64382,0.051338,-0.5174,0.038062,-0.89389,-1.2766,0.04943,0.70403,2.6573,0.32811,-1.7109,1.88,-2.2743,-0.67706
CEACAM7,4.3235,1.3698,7.2743,2.7736,12.2337,7.6404,-0.91502,-0.66478,11.5114,2.1267,2.0458,11.3651,2.5346,-1.1492,1.6606,3.6484,2.7162,5.8829,2.587,-1.6565,4.8938,-2.1856,-0.22472,-0.28245,4.171,1.6799,0.17237,0.54792,1.4004,-1.1818,3.2595,-1.2592,0.075732,-2.5347,-1.9,-1.5763,-2.5347,-0.4051,-1.2587,-0.36018,-1.6669,-2.0683,0.0036409,0.9986,1.1422,0.36556,0.7719,1.6062,1.5042,4.3271,7.1551,1.3547,11.9672,2.1273,2.0847,2.7677,0.60467,-0.71221,6.4967,4.7041,2.6723,4.4494,2.6263,0.82747,-1.0525,-2.0299,5.0665,-0.9556,-2.0602,-0.46755,-2.5347,-2.5347,-2.5347,-0.33693,-0.62026,-2.5347,-2.5347,-0.063297,2.1458,3.161,4.1444,4.5223,4.6594,-0.43266,-0.46176,-2.4631,0.15733,0.22523,-0.073198,7.2439,0.91018,-1.4549,0.48139,0.79319,-1.5732,0.099041,1.3956,-0.89707,0.92257,0.30173,0.40122,1.2571,-2.2166,3.3104
CHI3L1,3.8649,5.349,2.8697,-0.18861,2.4578,3.6118,0.30204,1.8657,4.8217,-0.26072,2.1345,1.3763,1.4025,-1.5654,-1.8974,0.26759,-2.4333,2.546,0.6335,1.1688,2.8014,0.1758,2.8441,0.61335,3.1918,0.36282,1.7999,0.63502,1.4248,-4.4054,1.3572,-0.65626,-3.209,-0.78923,-3.4246,-5.7583,0.56996,0.21589,-1.8973,1.7738,-0.30553,0.22163,-2.05,-2.3478,1.754,-0.90127,-2.0042,1.0374,1.2378,4.2842,3.7963,-0.063268,3.8716,-3.2662,0.24678,-0.60562,-0.35586,1.4905,3.7877,3.3721,3.2669,1.1114,-2.6479,-2.7829,1.1455,1.465,0.47233,-0.37181,-0.89146,1.534,1.8215,1.0459,-0.10674,0.99498,1.8627,0.2034,2.5174,1.4781,0.70796,0.8389,-0.3419,0.27155,0.87686,-1.1968,0.72408,0.12126,-0.12763,-2.3125,1.5363,0.19867,-2.0503,1.0366,-0.33074,-3.5444,-0.60533,0.91754,1.1323,-2.6612,-0.53546,-0.65174,-2.1086,-0.30353,1.0676,-1.1876
ABCC2,-2.4719,-0.60178,-4.7242,0.37114,-5.9307,-0.51115,0.10816,-1.1192,-4.7431,-1.0639,-2.1918,-2.0647,-1.3926,-0.28305,-0.0099812,-0.37891,-1.7457,-1.0749,-1.1447,-0.70653,-1.4898,-1.0897,-0.58554,-0.22042,-2.1431,-0.39591,-1.2678,-0.26884,-2.9021,1.5263,-0.38151,0.46962,1.5758,-0.059657,1.8114,1.4843,-0.9235,0.24114,0.39161,-2.1434,0.44343,0.295,1.265,0.0011559,-0.33592,0.7402,-0.81634,0.16535,-0.75091,-3.3749,-4.9536,-0.34699,-5.4844,1.5574,-0.0059481,-0.14489,-0.0092697,0.68586,-4.0501,-1.0155,-0.3688,-1.0384,0.23175,0.57611,-0.38613,-0.53635,-0.16953,-0.74932,-0.46858,-0.56424,-1.3616,-0.050467,-1.6587,-0.13423,-0.84462,-1.9217,-0.57655,-0.86886,-1.2391,-1.7675,1.2113,0.67154,0.61091,-1.2156,-1.1139,-2.323,0.55535,1.0315,-0.35428,0.24451,0.97502,0.73705,1.7198,1.3737,0.87751,0.78353,-0.43007,0.86458,1.3749,0.66009,1.1965,0.07381,-0.13725,-2.525
CNTFR,-4.8704,-1.7886,-5.1613,-1.2997,-0.66342,-0.96437,0.15253,-1.6627,-3.199,0.056028,-3.0982,-0.050351,-1.5905,0.32422,-0.51631,-0.46935,0.49269,-0.90509,-0.84382,-1.4236,-0.63486,-0.95588,-1.2023,-0.34778,-1.7436,-0.92798,-1.4272,0.30962,-2.6626,0.53757,-1.4271,0.84573,1.5304,-0.14217,0.16062,1.7681,-1.1551,-0.66096,1.2126,-1.0021,1.0578,0.39688,1.0484,0.26433,-1.1092,-0.15042,-2.4948,-0.82664,-1.8185,-6.1287,-7.2009,-0.93171,-3.4711,1.6418,-0.93401,-0.82215,0.81064,-0.25237,-6.7739,-3.3961,-1.2057,-0.13838,1.3648,0.75209,-0.74217,-1.4199,-2.9346,0.30096,-0.24053,-2.6265,0.20838,-0.025145,0.32238,-0.3695,-1.1774,-0.43637,-2.2018,0.3265,-0.45736,-2.2392,0.8814,0.84597,1.5746,0.74932,-4.2618,-1.9255,0.66942,0.68415,-1.4046,-0.6638,0.51069,0.60665,0.25335,0.025145,0.38623,-0.84943,-2.4348,1.3347,0.1267,0.32442,0.14479,-2.1279,-1.3348,0.013557
CRIP1,-2.8011,-3.0359,-3.0955,-1.2166,-1.8257,0.97462,0.19576,-1.2201,-0.99586,2.0945,0.13545,1.5431,-1.2833,1.3998,0.73467,2.765,2.456,0.22931,4.2773,-1.3717,-0.74444,-0.41463,-1.1577,-0.18245,-2.5188,-0.88379,-0.41445,-0.60741,1.6058,-0.40238,-0.56062,-0.34305,0.36022,-0.32493,-0.10562,0.40769,-0.84243,0.31976,-0.41012,2.9935,-0.30236,-0.43373,0.97982,-1.0587,-0.24736,-0.0016451,-0.78813,-0.50732,-0.4257,-2.1323,-1.6876,-0.16646,-2.4966,1.1978,0.070477,-0.54269,1.7344,-0.44374,-1.8854,-1.2583,-0.36059,0.71098,0.93376,-0.023656,-0.34599,-1.2155,-1.6216,1.882,-0.56792,-0.90229,1.4854,0.079575,2.4633,-1.1101,-0.57234,2.0425,-0.34992,2.7697,2.4492,2.2801,0.53723,0.014782,0.6309,2.3781,1.0811,4.8744,4.2405,0.26087,-1.8232,0.26938,0.92908,0.28573,-0.030647,0.40497,-0.47637,0.021571,-0.64268,0.55966,-0.72128,0.21357,-0.15909,-0.89254,-1.0506,2.7955
CSF3,1.6342,7.6248,3.858,1.1122,3.7157,1.6334,0.61969,1.548,5.9083,0.41348,4.0279,5.2678,1.6949,2.1225,0.0,1.4427,0.0,0.0,3.6972,0.29325,3.5888,0.3491,0.0,0.0,5.6405,1.0992,3.1774,0.53666,0.0,0.0,2.3226,0.0,0.0,0.0,0.0,0.0,0.76445,0.0,0.0,5.9294,0.0,0.0,0.0,0.0,2.3753,0.0,1.8106,0.0,0.0,3.9609,6.0042,0.082055,3.8319,0.0,0.0,0.0,0.81744,0.23754,4.3836,2.7581,0.0,0.0,0.30305,0.0,0.48222,0.534,0.0,0.0,0.0,0.0,1.7074,0.0,0.0,0.39042,0.0,0.0,0.074017,2.0564,2.2529,2.1608,1.2937,2.8776,4.5392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016097,0.0059611,0.0,0.048783,2.2523,0.0,0.55038,0.0,0.0,0.0,0.0,6.3878
CYP3A7,-3.0426,-1.1022,-4.9818,0.31581,-6.8817,0.16215,0.086803,-1.2882,-6.5916,0.35022,-3.2632,-2.7681,-1.611,0.18668,0.23512,-2.3069,-0.39157,-0.32397,-0.27804,0.49526,-0.007163,-0.20586,0.67841,-0.28451,-1.0112,0.094811,-1.0549,-0.31889,-2.1026,0.83357,-0.60039,0.1562,0.94845,0.32522,1.3147,1.0649,-1.1193,1.1065,0.27969,-3.5408,1.053,0.75056,2.0466,0.21497,-0.61005,0.98169,-0.71114,-0.56822,-0.86443,-6.035,-5.2085,0.4895,-6.2671,1.4986,-0.41328,-0.16561,1.2712,0.57776,-5.7532,-1.6935,-0.10542,-0.67646,0.56214,1.6892,-0.34179,-1.1712,-0.41171,-0.3728,-0.051949,-0.66606,-0.022988,0.1288,-1.347,0.048979,-1.1271,-1.0046,-0.82065,0.88656,-2.5715,-2.0185,1.2765,1.0239,0.89988,-1.7998,-1.3033,-2.5087,0.21341,0.55,-0.9094,-0.65279,1.1257,0.64421,0.55812,1.29,-0.077889,0.84158,1.0891,0.54844,0.18524,0.12814,1.1041,0.28642,-0.99077,-2.3459
CYP3A4,-2.5246,-1.0261,-5.7822,0.26329,-6.8596,-0.28253,0.040844,-1.3379,-6.4401,0.15052,-1.8576,-1.376,-1.6001,0.3734,0.25557,-2.0449,0.32554,-0.34224,-0.95324,-0.4074,-0.81575,-1.1858,-0.30969,-0.43567,-1.1742,-0.068575,-0.76986,-0.35701,-3.0287,0.55865,-0.63378,0.3556,0.67272,0.28955,1.1515,0.8397,-0.93974,1.1965,0.15551,-1.4533,0.81727,0.62847,1.9409,0.25311,-0.83512,0.39682,-0.75361,-0.67775,-0.92151,-5.994,-4.5072,0.36714,-6.9157,1.3082,-0.63989,-0.28929,1.2343,0.60988,-6.3999,-1.6559,0.088227,-1.1678,0.61805,1.7533,-0.40583,-1.1771,-0.3348,0.11811,0.086599,-1.0353,0.58881,0.15749,0.0070229,0.10107,-1.0101,-0.097241,-0.89585,1.1203,-1.3055,-0.97409,1.216,0.9407,0.78071,-0.69348,-0.93769,-2.4628,0.72107,0.44324,-1.0271,-0.78508,0.95251,-0.053268,0.35929,1.1124,-0.15135,0.66658,0.39981,0.37125,0.1159,-0.0070229,0.95521,0.33469,-1.0465,-0.78715
FABP6,-3.3405,-1.5941,-4.0518,0.081035,-7.9729,0.60014,-0.53843,-3.265,-7.0503,-0.17134,-0.041742,0.8221,0.042019,0.99584,1.1113,1.1342,2.194,-0.078653,2.8342,-1.0148,-0.56115,-1.5605,-1.0576,-1.788,-1.0438,0.012747,-2.5765,-0.95819,0.59619,0.95407,-0.35668,-0.90817,0.30104,0.47962,1.2341,0.11784,-1.7839,-0.16465,-0.0056944,1.6225,-0.14492,-0.56652,0.33521,-1.1078,0.42844,0.71492,0.85457,-1.0955,-2.5381,-7.0974,-0.84738,-1.0671,-7.5309,1.4732,1.5248,-0.036337,2.5934,0.40542,-2.7756,-0.91639,-1.1308,-0.17145,0.77883,2.107,-0.76284,-1.878,-0.61012,0.63165,-1.8644,-2.8002,0.91642,-0.73369,1.6072,-0.62406,-2.1628,-0.50213,-3.0795,1.7312,0.68856,0.40469,1.9487,-0.84105,1.0356,1.988,1.145,2.8769,1.5302,0.97634,-2.3065,-0.45228,0.31795,-0.22931,0.093706,0.70238,-0.51674,0.72177,-1.5718,0.63513,0.48136,-1.5058,0.24241,-2.3278,0.24639,1.5148
FCGR1A,3.7673,3.1236,3.532,0.9231,2.3102,1.9792,-1.0074,1.1071,3.8242,0.88609,0.9656,1.2572,0.52388,-0.85335,1.0346,0.095534,-0.45827,0.54586,0.79792,-0.12341,1.3086,-0.24748,1.3513,0.058241,1.5824,0.67097,-0.36039,0.28953,1.8533,-0.16563,1.4003,-0.68322,-1.497,-2.5681,0.53416,-2.3874,0.087483,0.74179,-0.3514,1.8148,-1.1573,1.3806,-0.55056,0.086287,0.7302,-0.74987,-0.089679,-0.65477,-0.42341,3.6936,4.1888,0.24064,2.7341,-0.72257,-0.10405,-0.16539,0.73099,0.49851,1.9336,3.4113,1.9564,1.4606,-0.85488,0.1967,-0.06216,-1.7049,0.63889,0.28563,-0.80636,0.73059,-0.30907,0.16674,0.63847,-0.19764,1.0569,1.0627,1.8526,0.17333,0.29436,1.1108,-0.57882,-0.67227,-0.11835,0.44814,3.7251,0.95064,-0.69122,-1.8635,0.624,0.06216,-1.1519,-0.31239,-0.16116,0.10093,-0.5991,0.89347,1.7968,-1.5506,-0.1208,-1.0785,-0.89341,1.3897,1.279,2.2462
FCGR1B,3.7908,3.0695,3.4764,0.79561,2.2315,2.1587,-0.05153,0.81638,3.7116,0.23891,0.70136,1.0147,0.38332,-0.9817,0.70668,0.6355,0.41339,0.56995,1.2976,0.27876,1.7637,-0.20488,2.2606,0.47979,1.8495,0.82215,-0.30441,0.43076,-1.2394,-0.90332,1.1481,-2.0246,-0.62533,-0.9375,0.33416,-2.5896,-0.28083,0.36569,-1.3136,1.4262,-2.1369,1.564,-0.68202,0.21163,0.19769,-1.0135,-0.74243,-0.63316,0.26876,3.6324,4.1042,0.86169,2.4461,-0.56699,-1.3394,-0.11837,-0.44831,0.80174,1.9954,3.0221,2.0324,1.0288,-0.70159,-0.44431,-0.44441,-1.3926,0.39068,0.27507,-1.1529,0.81542,-0.24477,-0.37041,0.47696,-0.35788,1.0116,0.93436,1.6164,0.7887,0.9343,2.2004,-1.1804,-0.80061,-0.69921,-0.16563,3.2791,0.87632,-0.36706,-1.8544,0.33757,0.43332,-0.96415,0.15312,-0.25158,-0.081141,-0.31676,1.1911,1.8206,0.017659,-0.13233,-0.60592,-0.71927,1.1538,1.353,2.1401
FCGR3A,3.8827,3.8964,3.2526,1.4448,2.7218,1.1107,-0.85105,-0.046368,3.1099,0.19944,1.0492,1.2379,-0.052789,0.071942,1.0289,-1.346,1.0859,1.3606,1.2378,-0.56776,1.7518,-0.48537,0.83701,0.03007,2.3071,-0.37791,-0.63771,0.051318,2.2212,-0.21787,1.2807,-0.48282,-0.12128,-0.38578,0.43661,-2.0274,0.40413,0.51085,-0.4428,0.339,-0.92232,0.84616,-1.3224,-0.15691,0.24044,0.20247,0.32403,-0.20245,0.9657,2.0501,3.9512,0.4802,2.6922,-0.47225,-0.59066,-0.033906,0.34449,0.59466,2.7213,3.1885,2.5669,0.37549,-0.13338,0.33249,-0.86109,-0.68004,-0.28081,0.6329,-0.54691,0.62575,1.1542,0.13424,0.72115,0.10779,0.48655,1.6328,1.6976,0.46199,-0.36252,0.92977,-0.76423,1.1039,-0.039074,0.76995,2.275,0.43746,-0.35361,-1.4443,0.13865,0.5901,0.46613,-0.60307,-0.68337,0.09727,-0.30497,-0.056133,-0.14621,-1.5358,-0.17823,-0.1514,-1.3231,1.9098,-0.15044,0.62294
FCGR3B,4.0353,4.8576,4.2103,2.2547,4.1052,1.3046,0.59339,0.4448,3.5097,0.19847,1.703,1.4507,0.3561,-0.64892,0.9422,-0.70192,1.1099,1.8299,1.2852,0.41662,2.2053,-1.4948,1.1199,1.1157,2.7802,0.16708,0.070181,0.33672,1.4857,1.0326,2.1698,-0.2614,0.63679,-0.54985,-0.065756,-2.1191,0.4943,-0.090261,-0.52394,2.432,-0.5817,0.98893,-0.8521,0.7348,0.93316,-0.045598,0.66778,-0.18195,0.80685,3.4329,5.3186,1.4278,4.1008,-0.72292,-0.34818,0.023733,1.1134,1.6779,3.4329,4.0239,4.6079,-0.093936,-0.64892,0.13887,-0.6624,-0.61062,-0.097139,0.47957,-0.4186,0.16945,0.39286,-0.16449,0.71069,0.043305,1.2432,0.7713,1.8624,0.4156,-1.1141,0.63743,-0.073322,1.586,0.88032,1.9401,2.2707,1.0282,-0.18194,-1.1081,0.42464,0.81217,-0.24406,-0.59126,-0.19891,-0.48658,-0.71742,0.0036969,1.0938,-1.4399,0.37099,-0.14411,-1.3335,3.9189,0.15131,1.0844
FCN1,3.3189,3.2458,2.3992,1.7163,3.299,-1.3101,-0.82472,1.6891,4.9048,-0.28311,2.5673,0.60605,1.306,-0.68352,0.42724,0.49919,1.4745,1.5218,0.5001,0.97776,2.5179,1.5137,1.1442,0.72482,1.8641,0.74595,0.42669,1.4388,0.99165,-0.75877,1.5315,-1.1666,-1.1048,-0.60842,-1.3468,-2.9851,0.75955,0.46578,-0.78255,1.1696,-0.85334,0.77554,-3.4052,-0.50135,0.64026,-1.6932,1.2135,-0.41322,-0.15073,3.2313,4.5633,1.2237,2.1143,-2.814,-0.73399,-0.5766,-0.010582,0.95167,1.379,2.9323,3.0432,-0.88425,-1.4181,-1.3832,0.57844,-0.26655,0.59217,-0.83389,0.89602,1.2549,-0.82106,-0.17358,0.089116,-0.30516,0.51691,0.34913,1.8686,-1.4721,-0.027664,1.9042,-0.84246,1.8654,1.0209,0.17527,1.9433,1.2698,-0.4214,-0.82172,0.72322,-0.39184,-0.59816,-0.74827,-0.15482,-1.435,-1.1075,-1.6723,2.5243,-2.8908,-0.51734,-0.20055,-2.4405,2.3549,1.0368,3.3434
FMO1,-5.2032,-0.8237,-9.2524,0.92639,-6.1888,-1.1203,-0.028008,-1.0656,-5.8943,0.73571,-2.3046,-2.6516,-0.45541,0.41543,0.17805,-0.67151,1.1547,-1.7977,0.43746,-0.2089,-1.7312,-0.36863,-0.52228,-0.29171,-2.1675,-0.39616,-1.9782,0.093287,-0.99535,0.61482,-1.5092,0.010195,1.1358,0.52186,0.66776,1.375,-1.3369,0.42899,0.35927,-2.0555,0.67789,0.73808,1.8582,0.74159,0.16768,0.46177,-0.59456,-0.40749,-0.59264,-6.2391,-5.0742,0.37625,-7.7425,0.95559,0.036645,-0.57113,0.43532,-0.077434,-6.3697,-2.7078,-0.77814,-1.2027,0.62945,0.063631,-0.90108,-0.46435,-1.4031,0.82114,0.61435,-1.1146,-0.018801,0.57029,-0.024071,0.16929,-1.115,0.018801,-0.3271,0.96142,-1.5915,-1.0609,0.4854,0.7817,0.59265,-0.072611,-3.6876,-1.9934,1.1225,0.66572,-0.22446,-0.96286,0.1272,0.40324,0.39047,1.0454,0.36553,0.076657,-0.56042,0.87976,-0.28365,0.5034,1.3932,-1.0843,-1.2182,-0.54597
FOLH1,3.7658,4.8763,2.1881,1.8232,-1.4016,-0.54044,-2.1969,-2.2686,-3.6921,2.3326,-1.1676,0.88651,-1.5035,-2.4423,2.2376,-2.3659,3.6336,5.0657,-0.23856,-1.9044,4.6576,-2.1575,-1.8381,1.4339,4.8728,2.7003,-1.6086,0.36574,1.0142,-2.4306,0.98864,0.035166,-0.36308,-1.8803,3.359,-2.1208,-0.90857,0.064404,-1.8794,-1.4834,-2.5171,1.1427,4.1115,-2.4174,-1.1771,-1.8974,-0.90385,-0.17601,-2.7678,-2.2555,4.733,-0.19504,-4.5105,-2.5325,-0.93383,-3.1535,-0.72388,1.9479,4.7488,4.8519,1.9766,1.5797,0.88672,0.53984,-2.602,-1.425,-1.3899,2.8549,-1.7911,0.41912,-1.3655,0.27072,-2.3738,-1.6825,0.81496,-2.1884,-2.1689,2.5076,1.3141,0.50377,-0.24875,-1.547,0.028509,-0.096439,2.0675,1.9985,-1.1358,-0.9898,0.99999,-0.94853,3.4839,-1.0134,-1.3199,2.3515,2.3738,2.2668,3.3744,-0.27433,0.71239,2.2634,-1.8622,3.7076,-1.0668,2.1077
