Gene_Symbol,20_control,120_control,294_UC,301_UC,316_UC,92_UC,119_UC,122_UC,123_UC,124_UC,125_UC,126_UC,127_UC,128_UC,129_UC,130_UC,131_UC,144_UC,151_UC,152_UC,153_UC,154_UC,155_UC,226_UC,232_UC,233_UC,234_UC,235_UC,238_UC,239_UC,240_UC,241_UC,242_UC,243_UC,244_UC,245_UC,246_UC,247_UC,248_UC,249_UC,250_UC,251_UC,272_UC,277_UC,280_UC,282_UC,283_UC,284_UC,288_UC,290_UC,291_UC,292_UC,295_UC,297_UC,298_UC,302_UC,305_UC,306_UC,308_UC,315_UC,318_UC,319_UC,322_UC,10_control,11_control,14_control,19_control,28_control,31_control,33_control,34_control,35_control,36_control,38_control,39_control,41_control,42_control,44_control,54_control,55_control,64_control,65_control,67_control,72_control,76_control,77_control,78_control,79_control,80_control,81_control,82_control,83_control,84_control,85_control,86_control,87_control,88_control,89_control,90_control,117_control,118_control,121_control,180_control,114_UC
CLEC4D,2.2119,1.6821,3.4763,0.46748,4.7058,1.9887,-0.64471,0.90329,3.491,-0.23123,2.4763,2.1206,0.63519,-0.64471,1.349,-0.64471,0.35828,1.4513,1.477,0.81846,1.5291,-0.64471,1.9872,0.38515,2.1489,0.45445,0.80342,1.2139,2.2904,-0.64471,1.4149,-0.64471,-0.64471,0.13292,-0.64471,-0.64471,0.56335,1.6476,0.63132,4.1363,-0.64471,-0.64471,-0.64471,0.85884,-0.64471,-0.26885,0.78742,1.8523,-0.64471,3.4682,5.802,2.2447,1.2803,-0.64471,-0.64471,-0.64471,2.1727,1.5637,2.7235,2.3764,1.8993,1.4535,-0.64471,0.91562,0.42248,-0.64471,1.6034,-0.64471,0.82978,2.3459,0.47773,-0.64471,1.1655,-0.64471,0.23469,-0.64471,0.42931,1.4117,2.6082,0.056628,0.64898,-0.44068,0.58272,0.45733,0.42824,1.8727,2.0473,-0.64471,1.8931,0.24399,-0.64471,1.435,-0.64471,-0.64471,-0.64471,0.40407,1.8706,-0.0070757,1.4906,-0.64471,-0.64471,-0.022866,1.2583,3.2341
HCAR2,2.0469,4.461,2.2355,0.95186,5.3426,2.6331,0.13073,0.059041,2.3221,0.78366,0.25021,1.4148,0.8458,0.66669,0.42899,1.1999,0.89512,1.3502,1.1451,1.0645,2.468,-0.31819,0.25274,-0.42593,2.7048,0.68644,-0.017883,-0.33417,-3.9152,1.0815,1.0704,-0.41729,3.1365,-1.5526,-0.25962,0.74363,-1.0633,-2.6229,0.36081,1.1173,0.65299,-1.1448,0.17771,0.89211,0.29657,-0.9544,0.60437,-0.17028,-1.6418,0.84538,4.4365,2.1892,2.2859,0.20136,-0.85771,-1.7003,1.4258,1.6622,1.6775,1.9472,1.6877,-0.33324,0.80197,-1.6179,-0.433,-0.71674,-2.6671,-0.0631,-0.79688,-0.62568,-1.0923,-0.014848,0.70236,-0.76992,-0.62227,-0.10175,1.2881,0.91374,1.0381,-0.83306,0.18582,1.5742,1.4415,1.9147,1.3277,0.22824,0.58417,-0.41061,-2.2611,-1.2192,0.015085,0.77924,-0.81166,-1.3052,-1.4943,-2.0591,1.1649,0.65315,1.9115,0.76449,0.060232,2.0902,0.82912,2.8778
MS4A10,-2.8267,-1.2545,-5.1666,0.16487,-6.1258,-0.69296,-0.2393,-1.4411,-6.3962,0.54228,-1.7913,0.066867,-1.0742,0.34578,0.19778,-0.61051,0.47162,-0.77996,1.5456,-1.0387,-0.53825,-1.3456,-0.36217,-0.365,-1.1933,-0.61437,-0.78608,-0.94118,-1.6945,0.034372,-0.60554,0.082532,-0.01932,-0.05727,0.10527,0.20024,-1.1887,0.80822,0.26854,0.1928,0.69407,0.20158,1.6664,0.37026,-0.44857,0.12905,-1.2737,-1.0285,-1.2287,-5.3759,-3.7277,-0.29394,-5.812,1.0162,0.011204,0.013253,-0.13181,0.16713,-4.9745,-1.4573,-0.12647,-0.82431,-0.25395,1.6128,-1.0248,-1.1712,-0.43519,0.71177,0.002697,-1.0032,0.36354,0.31252,0.66038,-0.093723,-1.1089,0.16883,-0.73716,0.95624,-0.84566,-0.65364,0.51563,0.56124,0.70472,0.018893,-1.4806,0.56447,0.79112,-0.025814,-1.2064,-0.78508,0.14735,0.096779,0.086794,0.40987,0.030947,-0.4309,-1.6078,0.20944,-0.38438,0.035309,0.69406,-0.57403,-1.3113,0.38945
CD300E,1.8506,4.8214,2.085,1.6822,2.4337,-0.32013,-0.52648,1.0539,3.6991,0.044917,1.627,0.81176,0.44185,-1.153,0.4187,-0.53263,-0.95053,0.94989,-0.83184,0.89431,2.2203,0.39558,0.16382,0.29873,2.3181,0.7306,0.9114,0.39563,0.98163,-0.27874,1.4846,-0.26294,-0.40429,-0.0059652,-1.9418,-1.4101,-0.38172,-0.076228,-1.2625,0.22101,-0.50078,0.34048,-2.9535,-0.05765,0.75577,-1.395,0.80054,0.0029211,-0.0020518,3.6999,4.9677,0.93589,2.0479,-1.0464,-1.2883,-0.62315,0.67128,-0.39406,2.7772,4.277,1.706,-0.40129,-1.0655,-0.65623,-0.88634,-0.74145,0.72757,-1.9594,0.9804,0.7766,-0.83108,-0.19999,-1.7283,-1.2412,-0.36101,0.40052,1.4424,-1.4821,-1.7006,1.2696,0.14752,1.0834,1.1808,0.95588,0.018603,1.4855,0.15355,-1.5078,-0.49202,0.1051,-0.83057,-1.2888,0.52201,0.052439,-0.99199,-0.31978,2.8097,-2.9535,-0.59579,-1.8826,-2.1875,2.2682,0.17191,2.8098
OTOP3,-3.7233,-4.2489,-4.1435,-0.59002,-4.2923,-1.8762,1.5495,-3.659,-4.5437,-1.8737,-1.3885,-2.3293,-3.3996,1.2062,1.2587,-1.8445,-1.5066,1.4857,0.19707,-1.3863,-0.046269,-4.7454,-3.1996,-0.40627,0.10584,1.7567,-1.4411,0.77438,-5.0945,-0.29543,0.057928,-0.21019,0.82765,1.1624,2.121,-1.6715,-2.5773,1.2767,-2.4035,-5.0945,-0.3451,-0.93178,3.0609,-0.92536,0.0012579,-1.4457,-2.6867,1.0552,-1.8211,-5.0246,-5.0945,-0.69779,-4.1695,-0.69427,-2.305,0.8638,-0.35489,-0.857,-5.0945,-0.57094,-0.81355,-0.34381,0.45568,1.4661,-0.56967,0.044718,-2.8464,-1.6863,-1.8127,-1.5715,0.46087,0.7686,-3.8693,-3.1192,-2.0426,-3.7405,-1.5611,-0.079634,-3.8417,-3.3343,1.706,1.9818,0.83389,-0.61676,-2.2142,0.66871,0.66559,1.7085,-0.53253,-1.1032,1.3134,-0.02928,0.091485,2.1296,-0.89116,1.6295,-0.5192,0.37498,-0.1845,0.31036,-0.32854,0.18951,-1.7765,-0.24715
LOC392364,-4.297,-0.34564,-4.6911,0.089323,-3.4349,-0.022819,0.69468,-0.43055,-4.6911,0.7509,-2.629,-1.8879,-0.62604,-0.41551,0.51732,0.71132,-1.6882,0.12908,-2.5695,-0.35117,-1.0799,-0.77726,-1.7962,0.49253,-0.19266,0.15934,-1.0241,0.52415,1.0596,1.511,-0.66513,0.60588,0.71054,0.035089,1.4004,1.8663,0.10364,0.56405,0.23795,-3.5166,0.62156,1.2082,1.3657,-0.20756,0.79355,1.4382,-0.99197,-0.80181,-0.9078,-4.6911,-2.9724,0.82787,-4.6911,1.6176,-0.05878,-0.24154,-0.39343,0.1775,-4.6911,-1.67,-0.92473,-0.20408,1.1818,0.67608,0.3579,-0.57218,-1.1249,0.62575,0.63883,-0.82352,-1.1627,0.28802,-1.8809,-0.2948,-0.19174,-0.13234,-1.1214,0.52658,-2.4239,0.021423,0.97707,0.80051,-0.08243,-0.78174,-1.6182,-4.5179,-0.12464,0.84091,-0.4824,-0.24051,1.1936,0.9632,1.1914,1.3153,-0.021423,0.97294,-0.99953,1.151,0.29303,1.7249,1.985,-0.36001,-0.56571,-1.9278
DUOXA2,7.8504,4.9431,7.1165,2.2348,7.8828,6.127,1.6839,-0.56862,8.6072,0.74797,6.2374,7.0391,4.8831,1.8059,4.0289,2.4965,0.22952,7.1028,2.742,-0.17061,8.2695,-0.90136,2.2601,0.54545,6.7355,4.3719,2.772,0.32913,3.5555,0.080194,4.1235,-0.5013,0.70544,-1.339,-0.10487,-0.91689,1.9176,-0.68425,-1.8995,5.451,-0.52222,1.2469,-1.5783,0.59481,0.27607,-1.8475,4.5913,2.319,-1.7501,4.32,10.0197,5.0826,8.9812,-1.7945,2.105,-0.34254,3.332,2.4791,9.3282,7.0644,5.1472,0.8884,-0.1819,-1.7262,-2.7016,-0.8002,0.52532,0.38009,-2.7016,-2.7016,-2.7016,-2.7016,-2.7016,1.472,2.8432,-2.7016,1.1251,0.73858,3.8233,3.2076,0.052854,-2.2081,0.45396,1.2078,0.67316,3.2527,1.7274,-2.7016,-2.5951,1.0492,1.5433,-1.0369,-0.84552,0.75702,-1.7401,-1.0678,4.6239,-2.5785,2.569,2.2097,-2.7016,4.0608,2.0967,6.8369
MUC5B,1.9525,3.2412,-0.27502,-0.23943,7.7174,5.7011,-1.2399,-2.2631,7.9159,-1.3976,-0.36809,6.1633,-1.6204,0.35407,-3.1393,0.74434,3.2363,0.092355,0.31062,-0.47341,0.58514,-1.877,-1.2369,3.8137,1.7602,1.0955,-2.8206,0.96973,0.70906,3.2697,2.0351,2.2169,2.9795,-1.7115,-0.098865,-0.1522,-2.0466,0.67767,-1.3126,-0.3146,-0.24284,-1.7015,-3.2727,-0.60706,-0.68673,3.4296,-0.79396,1.8635,-0.05223,-0.9046,0.71508,-1.4071,9.0123,0.266,-1.6048,2.3069,0.81374,-1.5735,0.9901,-0.78995,1.148,2.5081,1.4189,-0.51376,2.9096,0.58092,-0.041873,-0.35748,-0.75161,-1.3289,-3.6886,4.2031,-2.5858,-0.43878,-0.89661,0.44602,1.3074,3.9271,0.90125,1.6295,0.36626,-0.022062,1.5645,1.6129,-0.93075,0.6309,-0.38206,-2.9503,-1.949,3.7474,-2.1031,-1.7313,-0.62503,-1.8051,-1.2502,2.0033,1.7911,-0.51578,0.19876,-2.0621,-1.2377,1.9807,-0.68562,-1.3108
FCGR1C,3.5946,3.2987,3.6798,1.0204,2.4208,2.015,-0.24973,0.80983,3.7195,0.81053,0.25163,1.2114,0.56249,-0.17578,0.63888,-0.708,0.13358,0.4751,1.5153,0.037764,1.5757,0.3875,1.5033,0.069721,1.7018,0.59978,0.16346,0.38345,2.0422,0.066878,1.0151,-1.4012,-0.90514,-1.2362,0.41223,-1.6029,0.17515,0.90507,-0.96897,1.0003,-0.56411,1.418,-0.72338,0.24183,0.56304,-0.77039,0.28366,-0.72032,-0.60982,3.6352,4.3173,0.49275,2.8021,-0.65416,-0.68964,-0.30987,-0.71964,0.24252,1.7929,2.9365,1.8673,1.2725,-0.78875,-0.24197,-0.32007,-2.0273,0.46753,0.013367,-1.0324,0.64807,0.070166,0.025011,0.89427,-0.089952,0.90064,1.7647,1.635,-0.035435,0.84713,1.3059,-0.96804,-1.8878,-0.080104,0.23263,3.4034,0.51238,-0.83273,-2.5936,0.5217,0.5213,-0.13878,-0.65841,0.24622,0.1705,-0.39331,0.31061,1.8369,-0.53663,0.19554,-1.0377,-0.3242,1.3713,1.3043,2.1157
LOC100506115,3.8014,3.8907,3.1716,1.5958,4.1377,2.854,-0.48167,0.76857,5.0398,0.61078,2.6046,3.1664,1.1785,0.28416,-1.1014,-0.073694,1.4866,2.2088,2.0203,0.89233,3.1857,-0.75225,1.1801,0.34355,3.0009,1.9263,0.30413,-0.5647,-1.1014,0.68089,0.87509,0.50761,-0.13708,-0.38512,1.1057,-1.1014,1.1588,-1.1014,0.17468,3.2431,-1.1014,1.2492,-1.1014,1.0345,0.43801,-1.1014,-0.25418,1.7176,1.0518,3.2834,4.1708,1.7881,4.5737,-1.1014,-1.1014,0.11354,3.5069,2.29,3.6806,3.8881,2.6651,-1.1014,0.2017,-1.1014,0.7028,-1.1014,0.88374,0.47775,-1.1014,-1.1014,-0.97891,0.84482,-0.87609,-1.1014,0.28193,-1.1014,1.0567,-0.62995,2.1515,1.6589,-1.1014,0.68764,0.12608,0.54666,0.97159,3.2638,-1.1014,-0.2406,0.12811,-0.21266,0.021598,-0.021598,-0.085258,-1.0954,0.44514,-0.052572,1.9989,-1.1014,0.77095,0.96955,0.98079,2.039,-1.1014,4.2849
